Category,Band,Product name,Retailer,Positioning,Price shown (USD),URL,Research date,Price confidence
Ceylon / Sri Lankan Moonstone,D · Hero / Collector,18 Karat Gold Blue Moonstone Cushion Bezel Ring (2.82 cts),1stDibs (Faye Kim),fine jewelry,4695.00,https://www.1stdibs.com/jewelry/rings/cocktail-rings/faye-kim-18-karat-gold-blue-moonstone-cushion-bezel-ring-282-cts/id-j_25014942,2026-08-11,"price in search snippet ($4,695), verify on page"
Ceylon / Sri Lankan Moonstone,D · Hero / Collector,18 Karat Ceylon Blue Moonstone Daisy Cocktail Ring,1stDibs (Faye Kim),fine jewelry,4200.00,https://www.1stdibs.com/jewelry/rings/cocktail-rings/faye-kim-18-karat-ceylon-blue-moonstone-daisy-cocktail-ring/id-j_17909932,2026-08-11,"price in search snippet ($4,200), verify on page"
Ceylon / Sri Lankan Moonstone,D · Hero / Collector,Moonstone Cocktail Ring with Ceylon Blue Sapphire & Pave Diamonds in 14k Gold,1stDibs,fine jewelry,7480.00,https://www.1stdibs.com/jewelry/rings/cocktail-rings/moonstone-cocktail-ring-ceylon-blue-sapphire-pave-diamonds-14k-gold/id-j_26762722,2026-08-11,"price in search snippet ($7,480), verify on page"
Ceylon / Sri Lankan Moonstone,D · Hero / Collector,Octagon Shaped Moonstone Ring with Blue Sapphire & Diamonds in 14k Gold,1stDibs,fine jewelry,3240.00,https://www.1stdibs.com/jewelry/rings/fashion-rings/octogen-shaped-moonstone-ring-accented-blue-sapphire-diamonds-14k-gold/id-j_25917732,2026-08-11,"price in search snippet ($3,240), verify on page"
Ceylon / Sri Lankan Moonstone,D · Hero / Collector,Ceylon Blue Moonstone Ring with D Flawless Diamonds set in 18K Yellow Gold (KF06595),Kat Florence,luxury,,https://www.katflorence.com/products/ceylon-blue-moonstone-ring-with-d-flawless-diamonds-set-in-18k-yellow-gold-kf06595,2026-08-11,"USD price not shown; comparable Kat Florence Ceylon moonstone rings quoted in the EUR 17,000-52,000 range in results"
Rainbow Moonstone / White Labradorite,Affordable,"Rainbow Moonstone Stud Earrings, 925 Sterling Silver, Handmade",Etsy (multiple high-review shops),commodity,,https://www.etsy.com/listing/756709469/rainbow-moonstone-stud-earrings-925,2026-08-11,"price not shown in results; this is the highest-volume category on Etsy, typically ~$15-45 a pair, verify on page"
Rainbow Moonstone / White Labradorite,Middle-Market,Rainbow Moonstone Drop Earrings (14k gold vermeil bezel),Made In Earth US,boutique,170.00,https://madeinearthus.com/products/rainbow-moonstone-drop-earrings-7,2026-08-11,"price shown in search snippet ($170), verify on page"
Rainbow Moonstone / White Labradorite,Affordable,"Rainbow Moonstone Bracelet, 925 Sterling Silver, Pear Gemstone",Etsy (Star Seller / bestseller shops),commodity,,https://www.etsy.com/listing/1457704203/rainbow-moonstone-bracelet-925-sterling,2026-08-11,"price not shown in results; category typically ~$25-60, verify on page"
Rainbow Moonstone / White Labradorite,Affordable,Rainbow Moonstone Sterling Silver Statement Pendant (large cabochon),Etsy (handmade statement shops),artisan,,https://www.etsy.com/listing/1563869500/handmade-rainbow-moonstone-pendant,2026-08-11,"price not shown in results; handmade silver statement pendants typically ~$40-90, verify on page"
Rainbow Moonstone / White Labradorite,Middle-Market,"Rainbow Moonstone & White Topaz Ring, 18ct Gold Vermeil",Aspinal of London,boutique,220.00,https://www.aspinaloflondon.com/products/gemstone-ring-in-rainbow-moonstone-white-topaz-and-18ct-gold-vermeil,2026-08-11,"price shown in search snippet ($220), verify on page"
Rainbow Moonstone / White Labradorite,Middle-Market,Gold Vermeil Rainbow Moonstone Ring (LUNA / CASSANDRA styles),Bluemoonstone Creations,boutique,200.00,https://bluemoonstone.net/collections/gold-vermeil-collection,2026-08-11,"price range shown in search snippet ($200 LUNA, $320 CASSANDRA), verify on page"
Rainbow Moonstone / White Labradorite,Artisan / One-of-a-kind,Moonstone Homespun Ring (Satomi Kawakita),Catbird,fine jewelry,367.00,https://www.catbirdnyc.com/moonstone-homespun-ring.html,2026-08-11,"price shown in search snippet ($367), verify on page"
Rainbow Moonstone / White Labradorite,Premium,Rainbow Moonstone Wishing Well Ring (with two white diamonds),Catbird,fine jewelry,,https://www.catbirdnyc.com/rainbow-moonstone-wishing-well-ring.html,2026-08-11,"price not shown in results; Catbird solid-gold diamond-accent rings typically ~$500-900, verify on page"
Rainbow Moonstone / White Labradorite,Premium,"Rainbow Moonstone Round Pendant, 18k Yellow Gold",1stDibs,fine jewelry,420.00,https://www.1stdibs.com/jewelry/necklaces/pendant-necklaces/rainbow-moonstone-round-pendant-18k-yellow-gold/id-j_15835522,2026-08-11,"price shown in search snippet ($420, reduced from $495), verify on page"
Rainbow Moonstone / White Labradorite,Premium,"Rainbow Moonstone Dangling/Stud Earrings, 14k Solid Yellow Gold with Diamond",Chordia Jewels,fine jewelry,,https://www.chordiajewels.com/products/genuine-rainbow-moonstone-dangling-earrings-14k-solid-yellow-gold-diamond-minimalist-studs-8mm-round-cut-gemstone-fine-jewelry,2026-08-11,"price not shown in results; solid-14k moonstone+diamond earrings typically ~$300-600, verify on page"
Rainbow Moonstone / White Labradorite,Luxury / Exceptional,Denise Betesh Entrancing Oval Rainbow Moonstone One-of-a-Kind Ring,1stDibs (Denise Betesh / Santa Fe designer),luxury,1590.00,https://www.1stdibs.com/jewelry/rings/fashion-rings/denise-betesh-entrancing-oval-rainbow-moonstone-one-kind-ring/id-j_6344772,2026-08-11,"price shown in search snippet ($1,590, reduced from $1,990), verify on page"
Rainbow Moonstone / White Labradorite,Luxury / Exceptional,Steven Battelle 12.6 ct Rainbow Moonstone 22k Gold Ring,1stDibs (Steven Battelle),luxury,,https://www.1stdibs.com/jewelry/rings/cocktail-rings/steven-battelle-126-carats-rainbow-moonstone-22k-gold-ring/id-j_17362012,2026-08-11,"price not shown in results; comparable 1stDibs 22k moonstone cocktail rings run ~$1,500-3,000, verify on page"
Ceylon / Sri Lankan Blue Sapphire,A · Small / Basic,"Small Ceylon Sapphire Huggie Hoop (9kt solid yellow gold, 7 pavé Ceylon sapphires)",Otiumberg,boutique / fine jewelry,170.00,https://otiumberg.com/products/ceylon-sapphire-huggie-hoop,2026-08-11,GBP price shown in search snippet (£170); USD approximate; verify on page and confirm current stock (was out of stock)
Ceylon / Sri Lankan Blue Sapphire,A · Small / Basic,"Tiny Ceylon Sapphire Stud (single small Ceylon sapphire, solid gold)",Otiumberg,boutique / fine jewelry,,https://otiumberg.com/products/ceylon-sapphire-stud,2026-08-11,price not shown in results; verify on page
Ceylon / Sri Lankan Blue Sapphire,A · Small / Basic,"Ceylon Blue Sapphire & Moissanite Cluster Ring, Rhodium over Sterling Silver, 1.40 ctw",Shop LC,commodity / value TV-shopping,,https://www.shoplc.com/ceylon-blue-sapphire-and-moissanite-cluster-ring-in-rhodium-over-sterling-silver-size-5.0-1.40-ctw/p/7826133.html,2026-08-11,"price not shown in results; Shop LC uses frequent deep-discount pricing, verify carefully on page"
Ceylon / Sri Lankan Blue Sapphire,A · Small / Basic,"2.5 Carat Natural Blue Ceylon Sapphire Sterling Silver 925 Handmade Ring (unisex, resizable)",Etsy (independent maker),artisan / commodity,,https://www.etsy.com/listing/1793815483/25-carat-natural-blue-ceylon-sapphire,2026-08-11,price and sales/review count not shown in results; verify on Etsy listing
Ceylon / Sri Lankan Blue Sapphire,A · Small / Basic,"Ceylon Blue Sapphire Pendant, Pear cut, Sterling Silver Necklace",Etsy (independent maker),artisan / commodity,,https://www.etsy.com/listing/1839868655/ceylon-blue-sapphire-pendant-pear,2026-08-11,price not shown in results; verify on Etsy listing
Ceylon / Sri Lankan Blue Sapphire,B · Better Everyday,"Ceylon Blue Sapphire Stud Earrings, 14k White Gold, 4.5mm Round",Etsy (independent maker),artisan / fine jewelry,,https://www.etsy.com/listing/1538262779/ceylon-blue-sapphire-stud-earrings-14k,2026-08-11,price and sales count not shown in results; verify on Etsy listing
Ceylon / Sri Lankan Blue Sapphire,B · Better Everyday,"Ceylon Blue Sapphire Stud Earrings, 14K White Gold, 1.00 Carat, Handmade",Jewelry by Garo,fine jewelry / independent,,https://www.jewelrybygaro.com/ceylon-blue-sapphire-stud-earrings-14k-white-gold-1-00-carat-handmade-birthstone,2026-08-11,price not shown in results; verify on retailer page
Ceylon / Sri Lankan Blue Sapphire,B · Better Everyday,14K Gold 1.05 CTW Ceylon Blue Sapphire Stud Earrings,Harris Jewelers,fine jewelry / independent,,https://harrisjewelersnm.com/products/14k-gold-1-05ctw-ceylon-blue-sapphire-stud-earrings,2026-08-11,price not shown in results; verify on retailer page
Ceylon / Sri Lankan Blue Sapphire,B · Better Everyday,"Blue Sapphire Tennis/Line Bracelet, Round 1.58 Ct., 14K Yellow Gold (#J9749, 93 Ceylon sapphires)",The Natural Sapphire Company,fine jewelry (specialist Ceylon dealer),,https://www.thenaturalsapphirecompany.com/sapphire-bracelets-bangles/ceylon-sri-lankan-blue-sapphire-tennis-line-bracelet-round-1.58ct-14k-yellow-gold-j9749/,2026-08-11,price not shown in results; verify on TNSC product page
Ceylon / Sri Lankan Blue Sapphire,B · Better Everyday,"Baguette-Cut Blue Sapphire & Diamond Cluster Pendant Necklace, 14K White Gold",Blue Nile,fine jewelry (mainstream national retailer),4485.00,https://www.bluenile.com/jewelry/collections/blue-sapphire-diamond,2026-08-11,"price ($4,485) in search snippet; exact product URL not captured, shown via collection page; ORIGIN NOT CEYLON-SPECIFIC - market anchor only"
Ceylon / Sri Lankan Blue Sapphire,B · Better Everyday,Sapphire & Diamond Tennis Necklace in Sterling Silver (8.75 ct t.w. sapphire + 1.50 ct t.w. diamond),Ross-Simons,fine jewelry (value mainstream retailer),1845.00,https://shop.simon.com/products/ross-simons-sapphire-and-diamond-tennis-necklace-in-sterling-silver,2026-08-11,"price ($1,845) in search snippet; ORIGIN NOT CEYLON-SPECIFIC - market anchor for silver + high total carat"
Ceylon / Sri Lankan Blue Sapphire,C · Premium,"Round Blue Ceylon Sapphire & Diamond Art Deco Style Stud Earrings, 18K White Gold",1stDibs (vintage/estate dealer),fine jewelry / estate,4000.00,https://www.1stdibs.com/jewelry/earrings/stud-earrings/round-blue-ceylon-sapphire-diamond-art-deco-style-stud-18k-white-gold-earrings/id-j_26489412,2026-08-11,"price ($4,000) in search snippet; verify on 1stDibs listing"
Ceylon / Sri Lankan Blue Sapphire,C · Premium,"18K White Gold Ceylon Blue Sapphire & Diamond Drop/Dangle Halo Earrings (1.04 ct each sapphire, 58 diamonds 0.27 ctw)",1stDibs (dealer),fine jewelry / estate,5500.00,https://www.1stdibs.com/buy/blue-sapphire-and-diamond-drop-earrings/,2026-08-11,"price ($5,500) described in 1stDibs drop-earring search results; exact product URL not captured, shown via category page - verify"
Ceylon / Sri Lankan Blue Sapphire,C · Premium,"Blue Sapphire & Natural Diamond Stud Earrings, Oval 0.94 Ct., 18K White Gold (#J9385)",The Natural Sapphire Company,fine jewelry (specialist Ceylon dealer),,https://www.thenaturalsapphirecompany.com/sapphire-earrings/ceylon-sri-lankan-blue-sapphire-natural-diamond-studs-earrings-oval-0.94ct-18k-white-gold-j9385/,2026-08-11,price not shown in results; verify on TNSC product page
Ceylon / Sri Lankan Blue Sapphire,C · Premium,2.19 Ct Genuine Cushion Ceylon Blue Sapphire & Diamond 18K White Gold Halo Pendant,Zulily (marketplace listing),fine jewelry (discount marketplace),,https://www.zulily.com/products/2-19-ct-genuine-cushion-ceylon-blue-sapphire-and-diamond-18k-white-gold-halo-pendant,2026-08-11,price not shown in results; marketplace pricing - verify carefully
Ceylon / Sri Lankan Blue Sapphire,C · Premium,"2 Carat Cushion Ceylon Blue Sapphire & Diamond Halo Statement Necklace, 14K White Gold",Raven Fine Jewelers,fine jewelry (designer independent),,https://ravendiamonds.com/product/2-carat-ceylon-blue-sapphire-diamond-statement-necklace-rfj22491/,2026-08-11,price not shown in results; verify on retailer page
Ceylon / Sri Lankan Blue Sapphire,D · Hero / Collector,"GRS Certified 3.70 Carat Natural Ceylon Royal Blue Sapphire Ring, Platinum",1stDibs (dealer),fine jewelry / collector entry,6400.00,https://www.1stdibs.com/jewelry/rings/cocktail-rings/grs-certified-370-carat-natural-ceylon-royal-blue-sapphire-ring-set-platinum/id-j_15447472/,2026-08-11,"price ($6,400) in search snippet; verify heat treatment and full specs on listing"
Ceylon / Sri Lankan Blue Sapphire,D · Hero / Collector,"6.00 Ct Vivid Royal Blue UNHEATED Ceylon Sapphire & Diamond Ring, GRS Certified",1stDibs (dealer),collector / luxury,38000.00,https://www.1stdibs.com/jewelry/rings/cluster-rings/600-ct-vivid-royal-blue-unheated-sapphire-ceylon-diamond-ring-grs-certified/id-j_17790772,2026-08-11,"price ($38,000) in search snippet; verify metal and full specs on listing"
Ceylon / Sri Lankan Blue Sapphire,D · Hero / Collector,SSEF Switzerland UNHEATED Untreated 7 Carat Ceylon Blue Sapphire Ring,1stDibs (dealer),collector / luxury,76000.00,https://www.1stdibs.com/jewelry/rings/cocktail-rings/ssef-switzerland-unheated-untreated-7-carat-ceylon-blue-sapphire-ring/id-j_22503222,2026-08-11,"price ($76,000) in search snippet; verify specs on listing"
Ceylon / Sri Lankan Blue Sapphire,D · Hero / Collector,"Gubelin Certified 4.06 Carat UNHEATED Ceylon Blue Sapphire & Diamond Ring, Platinum",1stDibs (dealer),collector / luxury,84000.00,https://www.1stdibs.com/jewelry/rings/engagement-rings/gubelin-certified-406-carat-unheated-blue-sapphire-diamond-ring-platinum/id-j_27208382,2026-08-11,"current $84,000 shown as 20% off list $105,000 in snippet; verify"
Ceylon / Sri Lankan Blue Sapphire,D · Hero / Collector,"GRS Certified 20 Carat Blue Ceylon UNHEATED Sapphire Ring, Platinum",1stDibs (dealer),luxury / museum-grade collector,128000.00,https://www.1stdibs.com/jewelry/rings/engagement-rings/grs-certified-20-carat-blue-ceylon-unheated-sapphire-ring/id-j_25599882,2026-08-11,"price ($128,000) in search snippet; verify specs on listing"
Star Sapphire,Affordable,"Star Sapphire Sterling Silver Ring: Handmade 6-Ray Asterism, Vintage Style","Etsy (independent maker, listing 4343653107)",artisan,,https://www.etsy.com/listing/4343653107/star-sapphire-sterling-silver-ring,2026-08-11,price not shown in search results; verify on page
Star Sapphire,Affordable,"10k White Gold Blue Star Sapphire & Diamond Vintage Ring, Estate","Espling Jewelers (Jacksonville, FL estate dealer)",fine jewelry (estate),280.00,https://www.esplingjewelers.com/products/10k-white-gold-blue-star-sapphire-diamond-vintage-ring,2026-08-11,"price in search snippet, verify on page"
Star Sapphire,Middle-Market,"Blue Star Sapphire Vintage 10k White Gold Ring, Size 12.5",REMIjewels (vintage dealer),boutique (vintage),745.91,https://www.remijewels.com/blue-star-sapphire-ring/,2026-08-11,"price in search snippet, verify on page"
Star Sapphire,Middle-Market,"Ceylon Star Sapphire Ring, 6 Ray Natural","Etsy (independent maker, listing 1072629841)",artisan,,https://www.etsy.com/listing/1072629841/ceylon-star-sapphire-ring-6-ray-natural,2026-08-11,price not shown in results; verify on page
Star Sapphire,Premium,14k Gold 3 Ct Ceylon Blue Star Sapphire Ring w/ 0.40 tcw Diamonds,Sea Green Mermaid (independent estate/vintage dealer),fine jewelry (estate),,https://seagreenmermaid.com/products/copy-of-14k-gold-ceylon-blue-star-sapphire-ring-w-0-40-tcw-diamonds-video,2026-08-11,price not shown in results and page was egress-blocked; verify on page
Star Sapphire,Premium,14k White Gold 8 Ct Lavender-Gray Star Sapphire Ring w/ Diamond Halo,Sea Green Mermaid (independent estate/vintage dealer),fine jewelry (estate),,https://seagreenmermaid.com/products/14k-white-gold-8-ct-lavender-gray-star-sapphire-ring-w-diamond-halo-video,2026-08-11,price not shown in results; verify on page
Star Sapphire,Luxury / Exceptional,Fine Men's 18 Carat Grey-Blue Star Sapphire and Diamond Gold Vintage Ring,1stDibs (dealer listing),fine jewelry,7000.00,https://www.1stdibs.com/jewelry/rings/solitaire-rings/fine-mens-18-carat-grey-blue-star-sapphire-diamond-gold-vintage-ring/id-j_26718672,2026-08-11,"price in search snippet, verify on page"
Star Sapphire,Luxury / Exceptional,7 Carat Blue Star Sapphire Cabochon & Diamond 14K Gold Nugget Men's Ring,"1stDibs / ASSAY Jewelers (Miami, FL dealer)",fine jewelry,10660.00,https://www.1stdibs.com/jewelry/rings/cocktail-rings/7-carat-blue-star-sapphire-cabochon-diamond-14k-gold-nugget-mens-ring/id-j_26283142,2026-08-11,"price in search snippet, verify on page (also listed on assayjewelers.com)"
Star Sapphire,Luxury / Exceptional,Antique Platinum GIA Ceylon NO HEAT Cabochon Blue Star Sapphire & Diamond Ring,1stDibs (dealer listing),fine jewelry / collector,7906.40,https://www.1stdibs.com/jewelry/rings/cocktail-rings/antique-platinum-gia-ceylon-no-heat-cabochon-blue-star-sapphire-diamond-ring/id-j_19764482,2026-08-11,"price in search snippet, verify on page"
Star Sapphire,Luxury / Exceptional,GIA Certified Natural Blue Star Ceylon (Sri Lanka) Sapphire and Diamond Ring,1stDibs (dealer listing),fine jewelry / collector,8719.12,https://www.1stdibs.com/jewelry/rings/dome-rings/gia-certified-natural-blue-star-ceylon-sri-lanka-sapphire-diamond-ring/id-j_16712692,2026-08-11,"price in search snippet, verify on page"
Star Sapphire,Premium,14k White Gold Diamond & Blue Lindy Star Sapphire Hand Pendant,Sea Green Mermaid (independent estate/vintage dealer),boutique (estate novelty),,https://seagreenmermaid.com/products/14k-white-gold-diamond-blue-lindy-star-sapphire-hand-pendant,2026-08-11,price not shown in results; verify on page
Padparadscha Sapphire,Middle-Market,GRS Certified 1.18ct Padparadscha Sapphire & Diamond Ring in 18k Solid Gold,1stDibs (third-party dealer),fine jewelry,2588.00,https://www.1stdibs.com/jewelry/rings/engagement-rings/grs-certified-118ct-padparadscha-sapphire-diamond-ring-18k-solid-gold/id-j_21070502/,2026-08-11,"price in search snippet, verify on page; listing page not directly fetchable in this environment"
Padparadscha Sapphire,Middle-Market,"Padparadscha Sapphire Pendant, 1.36 ct, Solid 14k White Gold",MineralMiners,fine jewelry,3125.00,https://www.mineralminers.com/html/padparadscha-jewelry.stm,2026-08-11,"price in search snippet, verify on page; page not directly fetchable in this environment"
Padparadscha Sapphire,Middle-Market,"Unheated Padparadscha Sapphire 0.51ct 14KWG Pendant with Diamond, GRS Report",1stDibs (third-party dealer),fine jewelry,2979.00,https://www.1stdibs.com/jewelry/necklaces/drop-necklaces/unheated-padparadscha-sapphire-stone-051-cts-14kwg-pendant-w-dia-grs-report/id-j_17073332,2026-08-11,"price in search snippet, verify on page; page not directly fetchable in this environment"
Padparadscha Sapphire,Premium,1.34 Carat Oval Padparadscha Sapphire & Diamond Ring in 18k Gold (Modani Jewels),1stDibs (Modani Jewels),fine jewelry,15825.00,https://www.1stdibs.com/jewelry/rings/engagement-rings/134-carat-oval-padparadscha-sapphire-diamond-ring-18k-gold/id-j_14577322,2026-08-11,"price in search snippet, verify on page; page not directly fetchable in this environment"
Padparadscha Sapphire,Artisan / One-of-a-kind,"Clio 2ct Padparadscha Sapphire Engagement Ring, Platinum Ultra-Thin Diamond Band",Dana Walden Bridal (NYC),artisan,17500.00,https://www.danawaldenbridal.com/products/clio-peach-padparadscha-sapphire-engagement-ring-platinum-ultra-thin-diamond-band-ethical-handmade-nyc,2026-08-11,"price in search snippet, verify on page; page not directly fetchable in this environment"
Padparadscha Sapphire,Luxury / Exceptional,"Ceylon Padparadscha Sapphire Ring, 4.61 Carat, No Heat, AGL Certified",EraGem,luxury / collector,38400.00,https://eragem.com/adb84259.html,2026-08-11,"price in search snippet (special price vs list), verify on page; page not directly fetchable in this environment"
Padparadscha Sapphire,Luxury / Exceptional,"Untreated Padparadscha Sapphire Ring, 6.19 Carats (SSEF)",M.S. Rau,luxury / collector,405000.00,https://rauantiques.com/products/untreated-padparadscha-sapphire-ring-6-19-carats,2026-08-11,"price in search snippet, verify on page; page not directly fetchable in this environment"
Padparadscha Sapphire,Artisan / One-of-a-kind,"5.73 ct Unheated Ceylon Padparadscha Sapphire Ring, GRS/GIA/Lotus, Platinum & 18k Rose Gold",Enhoerning Jewelry,artisan / fine jewelry,,https://www.enhoerning-jewelry.com/made-by-enhoerning/5-ct-unheated-ceylon-padparadscha-sapphire-ring,2026-08-11,price not shown in results; maker uses inquiry pricing - verify directly
Padparadscha Sapphire,Artisan / One-of-a-kind,"Padparadscha Sapphire Studs, 0.90 ctw, 18k Fairmined Yellow Gold",Darius Jewels,artisan,,https://dariusjewels.com/products/padparadscha-sapphire-studs,2026-08-11,price not shown in results; contact studio - verify directly
Padparadscha Sapphire,Luxury / Exceptional,"Unheated Padparadscha Sapphire & Diamond Stud Earrings, 1.95 ctw, 18k Gold",1stDibs (third-party dealer),fine jewelry / luxury,,https://www.1stdibs.com/buy/padparadscha-earrings/,2026-08-11,price not shown in results; verify on page (page not directly fetchable in this environment)
Chrysoberyl Cat's Eye,Affordable,"Natural Golden Chrysoberyl Cat's Eye Ring, Handmade 925 Sterling Silver Solitaire",Etsy (independent artisan seller),artisan / boutique,58.50,https://www.etsy.com/listing/1137467287/natural-golden-chrysoberyl-cats-eye-ring,2026-08-11,"sale price ($58.50, 50% off $117) seen in search snippet; listing shows unavailable, verify live"
Chrysoberyl Cat's Eye,Affordable,"Chrysoberyl Cat's Eye Pendant, 0.60 ct Cabochon in 14k Yellow Gold",MineralMiners.com,boutique / gem dealer,418.95,https://www.mineralminers.com/html/cymjlry.stm,2026-08-11,"price in search snippet, verify on page"
Chrysoberyl Cat's Eye,Middle-Market,"Kardamome Chrysoberyl Cat's Eye & Diamond Ring, 18k Gold",1stDibs (Kardamome),boutique / fine jewelry,852.00,https://www.1stdibs.com/buy/chrysoberyl-cats-eye/,2026-08-11,"price in search snippet, verify on page"
Chrysoberyl Cat's Eye,Middle-Market,"Chrysoberyl Cat's Eye Ring, 1.32 ct Cabochon (6.7 x 5.0 mm) in 14k Gold",MineralMiners.com,boutique / gem dealer,1625.00,https://www.mineralminers.com/html/cymjlry.stm,2026-08-11,"price in search snippet, verify on page"
Chrysoberyl Cat's Eye,Middle-Market,"Chrysoberyl Cat's Eye Pendant, 1.72 ct Cabochon (7.8 x 5.0 mm) in 14k White Gold",MineralMiners.com,boutique / gem dealer,1625.00,https://www.mineralminers.com/html/cymjlry.stm,2026-08-11,"price in search snippet, verify on page"
Chrysoberyl Cat's Eye,Premium,"Chrysoberyl Cat's Eye Pendant, 2.47 ct Oval Cabochon (9.0 x 7.0 mm) in 14k Yellow Gold",MineralMiners.com,boutique / gem dealer,1895.00,https://www.mineralminers.com/html/cymjlry.stm,2026-08-11,"price in search snippet, verify on page"
Chrysoberyl Cat's Eye,Premium,18k White Gold Natural Green Chrysoberyl Cat's Eye Ring with Diamond,1stDibs,fine jewelry,2390.00,https://www.1stdibs.com/jewelry/rings/fashion-rings/18k-white-gold-natural-green-chrysoberyl-cats-eye-ring-diamond/id-j_17452272,2026-08-11,"price in search snippet, verify on page"
